method,n_samples,run_id,kl_divergence,final_log_likelihood,total_iterations,execution_time,initialization_time,total_time
EM,100,1,0.07864927523133679,-166.8655443248724,500,0.15511608123779297,0.0,0.15511608123779297
Kmeans,100,1,0.07864927523133713,-166.86554432487242,500,0.052304983139038086,0.13890624046325684,0.19121122360229492
Cmeans,100,1,0.07864927523133641,-166.8655443248724,500,0.05118203163146973,0.0029120445251464844,0.05409407615661621
EM,100,2,0.07554757914246431,-164.31938058259396,500,0.055815935134887695,0.0,0.055815935134887695
Kmeans,100,2,0.07271248988447888,-151.58289381121702,500,0.054000139236450195,0.0030448436737060547,0.05704498291015625
Cmeans,100,2,0.07395428678396632,-164.0680971606783,500,0.05393195152282715,0.001219034194946289,0.05515098571777344
EM,100,3,0.1283938446661555,-143.19448919113003,500,0.05377936363220215,0.0,0.05377936363220215
Kmeans,100,3,0.14276953627725142,-145.0322260108861,500,0.05388522148132324,0.0032050609588623047,0.05709028244018555
Cmeans,100,3,0.12855791785065482,-137.82815298349234,500,0.054418087005615234,0.0017311573028564453,0.05614924430847168
EM,100,4,0.07202215350287804,-149.52345149619458,500,0.05394315719604492,0.0,0.05394315719604492
Kmeans,100,4,0.07202215350287207,-149.52345149619455,500,0.05314898490905762,0.00432896614074707,0.05747795104980469
Cmeans,100,4,0.07202215350287833,-149.5234514961946,500,0.054895877838134766,0.0011360645294189453,0.05603194236755371
EM,100,5,0.10342614771639322,-128.9753700733908,500,0.05334210395812988,0.0,0.05334210395812988
Kmeans,100,5,0.1034261477163941,-128.9753700733908,500,0.05327582359313965,0.005654096603393555,0.0589299201965332
Cmeans,100,5,0.1034261477163941,-128.9753700733908,500,0.05371499061584473,0.0009839534759521484,0.054698944091796875
EM,200,1,0.04864635075671737,-317.4332008618793,500,0.05807900428771973,0.0,0.05807900428771973
Kmeans,200,1,0.04864832171789748,-317.4332143026388,500,0.05820012092590332,0.004152774810791016,0.062352895736694336
Cmeans,200,1,0.04864496732991719,-317.43319153828486,500,0.05808687210083008,0.0012841224670410156,0.059370994567871094
EM,200,2,0.05181467888044235,-301.0841798527225,500,0.05673408508300781,0.0,0.05673408508300781
Kmeans,200,2,0.05181467888044021,-301.0841798527217,500,0.05744004249572754,0.0038640499114990234,0.06130409240722656
Cmeans,200,2,0.0518146788804417,-301.08417985272234,500,0.05769205093383789,0.0017628669738769531,0.059454917907714844
EM,200,3,0.03308276906748953,-321.63142782054956,500,0.0585479736328125,0.0,0.0585479736328125
Kmeans,200,3,0.04160822563399573,-323.0221155884308,500,0.05860710144042969,0.004070758819580078,0.06267786026000977
Cmeans,200,3,0.03335121326733807,-325.95474097583195,500,0.05789065361022949,0.0020639896392822266,0.05995464324951172
EM,200,4,0.044752863456751904,-306.03087117815005,500,0.05879807472229004,0.0,0.05879807472229004
Kmeans,200,4,0.044752866291904295,-306.0308710215312,500,0.05795478820800781,0.004565000534057617,0.06251978874206543
Cmeans,200,4,0.04475286394180306,-306.030871151355,500,0.05696678161621094,0.002735137939453125,0.05970191955566406
EM,200,5,0.05518050483182278,-292.6239738694017,500,0.05725908279418945,0.0,0.05725908279418945
Kmeans,200,5,0.055180504831822776,-292.6239738694017,500,0.0589449405670166,0.003467082977294922,0.06241202354431152
Cmeans,200,5,0.05518050483182275,-292.6239738694017,500,0.057498931884765625,0.0013608932495117188,0.058859825134277344
EM,300,1,0.03680640166961769,-467.18920794342426,500,0.061218976974487305,0.0,0.061218976974487305
Kmeans,300,1,0.030241944248615663,-469.71428636289625,500,0.06061697006225586,0.006348848342895508,0.06696581840515137
Cmeans,300,1,0.030241944248615663,-469.71428636289625,500,0.06035208702087402,0.0015790462493896484,0.06193113327026367
EM,300,2,0.03828578100736745,-466.76805322159254,500,0.060378313064575195,0.0,0.060378313064575195
Kmeans,300,2,0.038285781007363254,-466.7680532216012,500,0.06031990051269531,0.00482487678527832,0.06514477729797363
Cmeans,300,2,0.03828578100737005,-466.7680532215877,500,0.060930728912353516,0.0015916824340820312,0.06252241134643555
EM,300,3,0.05449745506373671,-445.16615253310215,500,0.06110525131225586,0.0,0.06110525131225586
Kmeans,300,3,0.054497455063736724,-445.16615253310215,500,0.06062817573547363,0.005795955657958984,0.06642413139343262
Cmeans,300,3,0.05449745506373671,-445.16615253310215,500,0.06064486503601074,0.0020859241485595703,0.06273078918457031
EM,300,4,0.03227305268048573,-480.8746429799933,500,0.06099104881286621,0.0,0.06099104881286621
Kmeans,300,4,0.032273021842734784,-480.8746437265046,500,0.06118011474609375,0.0058248043060302734,0.06700491905212402
Cmeans,300,4,0.032273076117363644,-480.87464241480404,500,0.062222957611083984,0.0018181800842285156,0.0640411376953125
EM,300,5,0.05301697083020473,-449.9182911327856,500,0.06141185760498047,0.0,0.06141185760498047
Kmeans,300,5,0.05301697083020473,-449.9182911327855,500,0.06108403205871582,0.006104230880737305,0.06718826293945312
Cmeans,300,5,0.05301697083020473,-449.9182911327855,500,0.06020808219909668,0.0021979808807373047,0.062406063079833984
EM,400,1,0.037949535675772396,-613.8865017598084,500,0.06534075736999512,0.0,0.06534075736999512
Kmeans,400,1,0.03794961362122689,-613.7671630890845,500,0.06628108024597168,0.007288694381713867,0.07356977462768555
Cmeans,400,1,0.03794952784733328,-613.8977318584591,500,0.06427812576293945,0.0017650127410888672,0.06604313850402832
EM,400,2,0.04317100351473793,-573.5222343088524,500,0.06441116333007812,0.0,0.06441116333007812
Kmeans,400,2,0.04317100351473786,-573.5222343088524,500,0.0650019645690918,0.007733821868896484,0.07273578643798828
Cmeans,400,2,0.04317100351473793,-573.5222343088524,500,0.06396102905273438,0.0026388168334960938,0.06659984588623047
EM,400,3,0.04109536889719108,-645.2453639556596,500,0.06531906127929688,0.0,0.06531906127929688
Kmeans,400,3,0.041107518280074126,-645.2458391978009,500,0.06459784507751465,0.0062808990478515625,0.07087874412536621
Cmeans,400,3,0.04109521536895276,-645.2453610375028,500,0.0625009536743164,0.0033850669860839844,0.06588602066040039
EM,400,4,0.038420398140278526,-630.6757505768396,500,0.06423711776733398,0.0,0.06423711776733398
Kmeans,400,4,0.03842106570131707,-631.5929058481544,500,0.06619787216186523,0.007284879684448242,0.07348275184631348
Cmeans,400,4,0.03842091164027409,-631.4496134633692,500,0.06421399116516113,0.0019268989562988281,0.06614089012145996
EM,400,5,0.042866181917314096,-602.063286653675,500,0.06461501121520996,0.0,0.06461501121520996
Kmeans,400,5,0.04286618191731423,-602.063286653675,500,0.06424784660339355,0.007984161376953125,0.07223200798034668
Cmeans,400,5,0.04286618191731415,-602.063286653675,500,0.0626380443572998,0.0031228065490722656,0.06576085090637207
EM,500,1,0.03258927020021873,-757.313577299095,500,0.0654292106628418,0.0,0.0654292106628418
Kmeans,500,1,0.03313138125846066,-743.1023662359424,500,0.06773090362548828,0.0057108402252197266,0.07344174385070801
Cmeans,500,1,0.032589270203277086,-757.3135772990948,500,0.06486010551452637,0.0026350021362304688,0.06749510765075684
EM,500,2,0.04240275532778068,-789.4167140094048,500,0.0680088996887207,0.0,0.0680088996887207
Kmeans,500,2,0.04240275532778068,-789.4167140094048,500,0.07808089256286621,0.008914947509765625,0.08699584007263184
Cmeans,500,2,0.042402755327780574,-789.4167140094048,500,0.07317900657653809,0.002357006072998047,0.07553601264953613
EM,500,3,0.04361668025900435,-753.9511192562438,500,0.07099413871765137,0.0,0.07099413871765137
Kmeans,500,3,0.04361668025901171,-753.9511192562439,500,0.0783071517944336,0.008370161056518555,0.08667731285095215
Cmeans,500,3,0.043616680258999015,-753.9511192562438,500,0.0665738582611084,0.003387928009033203,0.0699617862701416
EM,500,4,0.03307173479358527,-756.5666743474821,500,0.06918025016784668,0.0,0.06918025016784668
Kmeans,500,4,0.03307170388770515,-756.5666743666286,500,0.07704401016235352,0.019021034240722656,0.09606504440307617
Cmeans,500,4,0.03307175102871008,-756.5666743375145,500,0.07747197151184082,0.002226114273071289,0.07969808578491211
EM,500,5,0.04256533367205547,-797.5153946377593,500,0.09040093421936035,0.0,0.09040093421936035
Kmeans,500,5,0.04256533367543623,-797.515394638214,500,0.0811929702758789,0.007965087890625,0.0891580581665039
Cmeans,500,5,0.04256533367066474,-797.5153946375722,500,0.07299089431762695,0.0022208690643310547,0.07521176338195801
EM,1000,1,0.031281268133110364,-1608.5438648431937,500,0.0885019302368164,0.0,0.0885019302368164
Kmeans,1000,1,0.03327361313063803,-1607.92538162257,500,0.0867159366607666,0.016109943389892578,0.10282588005065918
Cmeans,1000,1,0.031281412167735986,-1608.5438338543127,500,0.08158111572265625,0.004065036773681641,0.08564615249633789
EM,1000,2,0.032703371840937585,-1540.3884770332677,500,0.08812379837036133,0.0,0.08812379837036133
Kmeans,1000,2,0.032703371840582314,-1540.3884770332675,500,0.08797812461853027,0.011956930160522461,0.09993505477905273
Cmeans,1000,2,0.032703371840659634,-1540.3884770332677,500,0.08151507377624512,0.005534172058105469,0.08704924583435059
EM,1000,3,0.038267488059214136,-1546.1197971836943,500,0.0847170352935791,0.0,0.0847170352935791
Kmeans,1000,3,0.03826748805919898,-1546.1197971836943,500,0.08381414413452148,0.012753963470458984,0.09656810760498047
Cmeans,1000,3,0.03826748805921692,-1546.1197971836941,500,0.0794987678527832,0.004884004592895508,0.08438277244567871
EM,1000,4,0.03498595755065398,-1548.927354169673,500,0.09223389625549316,0.0,0.09223389625549316
Kmeans,1000,4,0.03498595755065389,-1548.9273541696732,500,0.08612203598022461,0.010073184967041016,0.09619522094726562
Cmeans,1000,4,0.03498595755065398,-1548.927354169673,500,0.08602070808410645,0.0046291351318359375,0.09064984321594238
EM,1000,5,0.0372823786661084,-1568.7094108001083,500,0.09982800483703613,0.0,0.09982800483703613
Kmeans,1000,5,0.03728237824795325,-1568.7094107974594,500,0.08666276931762695,0.02461099624633789,0.11127376556396484
Cmeans,1000,5,0.0372823785884075,-1568.7094107996222,500,0.08182692527770996,0.004333019256591797,0.08615994453430176
